"Stage","EnemyHPBonus","EnemyATKBonus","EnemyDEFBonus","EnemyMPBonus","EnemyEquipmentCount","Notes"
"1","0","0","0","0","0","新手保护关"
"2","4","1","1","1","1","单主角前期过渡更稳"
"3","8","2","1","1","1","第三关维持可过不形成硬墙"
"4","8","1","1","2","2","第四关改为缓坡回升避免立刻断层"
"5","12","2","2","3","2","第五关提高生存与续航确保中段不断档"
"6","16","2","2","4","2","第六关保证多一轮输出窗口避免卡死"
"7","24","3","3","5","2","第七关作为高压关但不应两三回合暴毙"
"8","36","5","4","7","2","Boss关要求运营但必须给完整对抗回合"
"9","38","5","4","7","2","章节常规成长"
"10","40","5","4","7","2","章节常规成长"
"11","42","6","4","8","2","休整节点占位，若进入战斗也保持平滑参数"
"12","56","7","5","10","2","精英节点抬升但不突兀"
"13","47","6","5","9","2","章节常规成长"
"14","49","7","5","9","2","休整节点占位，若进入战斗也保持平滑参数"
"15","51","7","5","10","2","章节常规成长"
"16","65","8","6","12","2","精英节点抬升但不突兀"
"17","56","8","5","11","2","休整节点占位，若进入战斗也保持平滑参数"
"18","58","8","6","11","2","章节常规成长"
"19","72","9","7","14","2","精英节点抬升但不突兀"
"20","94","12","8","18","2","章节Boss抬升并留出完整对抗空间"
"21","65","9","6","13","2","休整节点占位，若进入战斗也保持平滑参数"
"22","67","9","7","13","2","章节常规成长"
"23","81","11","8","16","2","精英节点抬升但不突兀"
"24","72","10","7","14","2","休整节点占位，若进入战斗也保持平滑参数"
"25","74","10","7","15","2","章节常规成长"
"26","76","11","7","15","2","章节常规成长"
"27","78","11","8","16","2","休整节点占位，若进入战斗也保持平滑参数"
"28","94","13","9","18","2","精英节点抬升但不突兀"
"29","83","12","8","17","2","章节常规成长"
"30","85","12","8","17","2","章节常规成长"
"31","87","13","9","18","2","休整节点占位，若进入战斗也保持平滑参数"
"32","103","14","10","20","2","精英节点抬升但不突兀"
"33","92","13","9","19","2","章节常规成长"
"34","94","14","9","19","2","休整节点占位，若进入战斗也保持平滑参数"
"35","96","14","9","19","2","章节常规成长"
"36","113","15","11","22","2","精英节点抬升但不突兀"
"37","101","15","10","20","2","休整节点占位，若进入战斗也保持平滑参数"
"38","103","15","10","21","2","章节常规成长"
"39","119","16","11","23","2","精英节点抬升但不突兀"
"40","143","19","13","28","2","章节Boss抬升并留出完整对抗空间"
"41","110","16","11","22","2","休整节点占位，若进入战斗也保持平滑参数"
"42","112","16","11","23","2","章节常规成长"
"43","129","18","12","25","2","精英节点抬升但不突兀"
"44","117","17","11","24","2","休整节点占位，若进入战斗也保持平滑参数"
"45","119","17","12","24","2","章节常规成长"
"46","121","18","12","25","2","章节常规成长"
"47","123","18","12","25","2","休整节点占位，若进入战斗也保持平滑参数"
"48","141","20","13","28","2","精英节点抬升但不突兀"
"49","128","19","13","26","2","章节常规成长"
"50","130","19","13","27","2","章节常规成长"
"51","132","20","13","27","2","休整节点占位，若进入战斗也保持平滑参数"
"52","151","21","14","30","2","精英节点抬升但不突兀"
"53","137","20","13","28","2","章节常规成长"
"54","139","21","14","29","2","休整节点占位，若进入战斗也保持平滑参数"
"55","141","21","14","29","2","章节常规成长"
"56","160","22","15","32","2","精英节点抬升但不突兀"
"57","146","22","14","30","2","休整节点占位，若进入战斗也保持平滑参数"
"58","148","22","15","31","2","章节常规成长"
"59","167","23","16","33","2","精英节点抬升但不突兀"
"60","191","26","17","37","2","章节Boss抬升并留出完整对抗空间"
"61","155","23","15","32","2","休整节点占位，若进入战斗也保持平滑参数"
"62","157","23","15","32","2","章节常规成长"
"63","176","25","17","35","2","精英节点抬升但不突兀"
"64","162","24","16","33","2","休整节点占位，若进入战斗也保持平滑参数"
"65","164","24","16","34","2","章节常规成长"
"66","166","25","16","34","2","章节常规成长"
"67","168","25","16","35","2","休整节点占位，若进入战斗也保持平滑参数"
"68","189","27","18","37","2","精英节点抬升但不突兀"
"69","173","26","17","36","2","章节常规成长"
"70","175","26","17","36","2","章节常规成长"
"71","177","27","17","37","2","休整节点占位，若进入战斗也保持平滑参数"
"72","198","28","19","39","2","精英节点抬升但不突兀"
"73","182","27","18","38","2","章节常规成长"
"74","184","28","18","38","2","休整节点占位，若进入战斗也保持平滑参数"
"75","186","28","18","39","2","章节常规成长"
"76","208","29","19","41","2","精英节点抬升但不突兀"
"77","191","29","19","40","2","休整节点占位，若进入战斗也保持平滑参数"
"78","193","29","19","40","2","章节常规成长"
"79","214","30","20","43","2","精英节点抬升但不突兀"
"80","240","33","21","47","2","章节Boss抬升并留出完整对抗空间"
"81","200","30","20","42","2","休整节点占位，若进入战斗也保持平滑参数"
"82","202","30","20","42","2","章节常规成长"
"83","223","32","21","45","2","精英节点抬升但不突兀"
"84","207","31","20","43","2","休整节点占位，若进入战斗也保持平滑参数"
"85","209","31","20","43","2","章节常规成长"
"86","211","32","21","44","2","章节常规成长"
"87","213","32","21","44","2","休整节点占位，若进入战斗也保持平滑参数"
"88","236","34","22","47","2","精英节点抬升但不突兀"
"89","218","33","21","45","2","章节常规成长"
"90","220","33","22","46","2","章节常规成长"
"91","222","34","22","46","2","休整节点占位，若进入战斗也保持平滑参数"
"92","246","35","23","49","2","精英节点抬升但不突兀"
"93","227","34","22","47","2","章节常规成长"
"94","229","35","22","48","2","休整节点占位，若进入战斗也保持平滑参数"
"95","231","35","23","48","2","章节常规成长"
"96","255","36","24","51","2","精英节点抬升但不突兀"
"97","236","36","23","49","2","休整节点占位，若进入战斗也保持平滑参数"
"98","238","36","23","50","2","章节常规成长"
"99","261","37","25","52","2","精英节点抬升但不突兀"
"100","289","40","26","57","2","最终Boss高压收束但不应形成纯数值硬墙"
